,Alabama Predict,Alaska Predict,American Samoa Predict,Arizona Predict,Arkansas Predict,California Predict,Colorado Predict,Florida Predict,Georgia Predict,Guam Predict,Idaho Predict,Illinois Predict,Indiana Predict,Iowa Predict,Kansas Predict,Kentucky Predict,Louisiana Predict,Maine Predict,Maryland Predict,Massachusetts Predict,Michigan Predict,Minnesota Predict,Mississippi Predict,Missouri Predict,Montana Predict,Nebraska Predict,Nevada Predict,New Hampshire Predict,New Jersey Predict,New Mexico Predict,New York Predict,North Carolina Predict,North Dakota Predict,Northern Mariana Islands Predict,Ohio Predict,Oklahoma Predict,Oregon Predict,Pennsylvania Predict,Puerto Rico Predict,South Carolina Predict,South Dakota Predict,Tennessee Predict,Texas Predict,Utah Predict,Vermont Predict,Virginia Predict,Washington Predict,West Virginia Predict,Wisconsin Predict,Wyoming Predict,Date Predict
0,-1.2853088,15.697662,0.0024108887,-142.7887,-42.813766,15.629044,47.87217,-44.825134,83.00193,0.0005187988,51.968773,64.37661,118.04428,24.060059,-1.508194,62.779793,-110.20892,6.3020477,41.72194,-27.769257,309.7308,128.1539,-3.4614258,10.018967,-46.668488,-25.67537,-6.3092957,-6.311569,-6.607956,-118.31842,71.28697,-91.275635,-14.585449,1.5258789e-05,-1.6554871,71.27863,-78.5986,162.73535,38.88347,-76.84151,7.533905,88.9444,-27.479752,90.80131,9.821915,144.11914,-10.864838,-39.2231,-6.465317,-7.290558,
1,1.8761597,15.807251,0.0024108887,-140.92596,-43.518646,29.957367,43.537766,-40.87642,92.19268,0.0005187988,47.208954,81.4243,112.89256,34.66118,-0.10731506,61.700645,-111.1181,6.0468445,44.81711,-23.84578,304.44614,128.1159,5.108551,8.593094,-46.753952,-26.285675,-5.951523,-6.1419067,-5.2233734,-118.14688,58.948326,-87.97211,-14.22728,1.5258789e-05,-3.1881409,70.70399,-79.25601,153.58318,39.562775,-69.88423,9.163284,85.249176,-27.142715,90.09021,9.969833,142.07637,2.5475159,-38.183014,0.57218933,-7.1775665,
2,4.8172455,15.916077,0.0024108887,-138.81519,-44.282074,43.60269,39.79991,-39.60753,100.72719,0.0005187988,43.22107,99.50036,108.273056,43.32225,1.305191,59.967194,-111.022736,5.777252,47.874687,-19.920609,298.12943,127.57769,13.189148,7.782959,-46.86888,-26.832428,-5.6131287,-5.9695435,-0.7127838,-117.964325,49.16761,-84.361786,-13.828613,1.5258789e-05,-3.9891663,70.10918,-79.910706,133.76222,40.281815,-62.77057,10.324417,81.9255,-26.513214,89.50083,10.063492,139.95685,14.8268585,-37.290405,7.8827667,-7.0257263,
3,7.4292603,16.02472,0.0024108887,-136.42645,-44.865448,55.322884,35.17711,-38.1615,108.554085,0.0005187988,39.95981,109.323906,104.32705,50.060112,3.3675385,57.956787,-107.51108,5.4379883,50.555885,-16.235413,293.6824,126.91117,20.94841,7.3391266,-47.057266,-27.31424,-5.2848053,-5.79335,6.121216,-117.77069,41.80101,-80.497375,-13.388367,1.5258789e-05,-3.8934326,68.947464,-80.49718,112.93578,41.110565,-55.994705,11.82045,78.35994,-26.531433,89.02754,10.111923,137.85495,27.524643,-36.418457,13.156982,-6.807678,
4,10.035446,16.13916,0.0024108887,-133.8689,-45.26471,56.284966,30.83281,-36.38948,116.64496,0.0005187988,37.177048,99.6651,101.03283,48.200874,5.6725464,56.1679,-100.46716,5.22052,52.274994,-12.729263,289.9767,126.79895,27.722717,6.280136,-47.22899,-28.41684,-5.071411,-5.609848,14.828415,-117.78851,40.462357,-76.284485,-12.966049,1.5258789e-05,-3.5538635,66.89074,-80.76309,94.95256,42.029617,-49.920456,13.301178,74.90796,-27.707092,88.66337,10.074982,135.77844,40.431152,-35.550858,17.125656,-6.5920715,
5,12.481735,16.252731,0.0024108887,-131.15399,-45.501343,50.945442,26.640854,-36.953476,125.31416,0.0005187988,34.81778,86.580475,98.55533,46.38214,8.207016,54.289864,-89.87207,5.062805,53.931313,-9.215454,286.76254,127.27069,34.05475,4.160614,-47.355743,-29.920624,-5.090988,-5.4411316,24.975632,-117.87012,40.417587,-71.84425,-12.774185,1.5258789e-05,-2.6997375,64.871994,-81.013885,80.61126,42.908936,-44.278778,14.35881,71.835266,-29.789993,88.402306,10.009567,133.68896,50.732445,-34.721436,19.428726,-6.3719025,
6,14.6094055,16.365921,0.0024108887,-128.27975,-45.340286,45.59662,23.021027,-41.865433,130.79575,0.0005187988,33.00563,76.75557,95.77006,41.584717,10.655258,52.405045,-76.94849,4.9784546,55.612633,-6.047653,286.4133,128.76169,39.17816,2.2630005,-47.42134,-31.039108,-5.2001038,-5.2756195,36.34404,-117.95422,40.67186,-68.12753,-12.489471,1.5258789e-05,-1.3878326,63.07148,-81.16565,68.919754,43.792526,-39.255173,15.3420105,69.139534,-31.206558,88.22516,9.939331,131.79291,60.353653,-33.910233,20.820877,-6.2029877,
7,16.777191,16.479202,0.0024108887,-125.24835,-44.845688,41.0719,19.9935,-47.03537,134.39192,0.0005187988,31.273926,69.951996,88.21469,37.15883,13.60643,50.81482,-72.42259,4.8863983,57.3331,-2.9257812,283.4218,130.86784,43.50113,-0.010406494,-47.445374,-32.137634,-5.3983765,-5.1132507,48.447014,-118.02612,44.27211,-64.431335,-12.160767,1.5258789e-05,-2.1615295,61.527184,-81.18851,59.911766,44.667786,-34.580627,16.257584,66.81825,-30.680557,88.245705,9.862762,130.0548,70.48498,-33.142746,21.245712,-6.077011,
8,21.010239,16.591522,0.0024108887,-122.093475,-44.262497,35.380417,15.737778,-52.38089,135.67166,0.0005187988,30.048645,65.10437,81.439804,33.209717,15.0394745,49.511818,-66.88849,4.791031,58.966347,0.20915222,276.7266,133.14339,47.5987,-2.7173767,-47.44626,-33.098557,-5.734253,-4.9581757,56.002968,-118.086426,50.057983,-60.190933,-11.770721,1.5258789e-05,-8.326096,60.16488,-81.60715,53.079315,45.520355,-30.19777,17.10376,64.86715,-29.213974,88.47014,9.779678,128.42775,74.140465,-32.321655,21.687225,-6.016922,
9,25.983246,16.703827,0.0024108887,-118.82657,-43.5925,30.12268,11.278351,-54.93611,135.83563,0.0005187988,29.735062,61.665375,75.40566,30.09671,13.467072,48.454575,-62.230606,4.688797,60.616074,3.0985107,266.0429,135.99146,48.670677,-5.2983704,-47.42154,-34.06877,-6.168976,-4.802109,59.214622,-118.134674,56.58673,-56.161972,-11.369629,1.5258789e-05,-13.666779,59.0776,-82.549255,47.780113,46.36673,-26.075974,17.467941,63.277306,-26.917694,88.798454,9.68988,126.81969,68.07648,-31.797104,22.188797,-5.9412384,
