,Texas Predict,New York Predict,California Predict,Florida Predict,Illinois Predict,Arizona Predict,Georgia Predict,Massachusetts Predict,New Jersey Predict,Pennsylvania Predict,North Carolina Predict,Louisiana Predict,Maryland Predict,Virginia Predict,Ohio Predict,South Carolina Predict,Alabama Predict,Tennessee Predict,Wyoming Predict,Oklahoma Predict,Arkansas Predict,Maine Predict,Minnesota Predict,Utah Predict,South Dakota Predict,North Dakota Predict,Iowa Predict,Missouri Predict,Wisconsin Predict,Vermont Predict,Mississippi Predict,Colorado Predict,Idaho Predict,Indiana Predict,Nevada Predict,Washington Predict,New Mexico Predict
0,3435.0764472037554,-12666.666880249977,21844.099508598447,11828.424641862512,-1512.5845093280077,3756.053512915969,2051.2633491307497,1173.9772162400186,5647.563375532627,-1707.3052003979683,-6953.40137463063,-1533.3079500123858,-9101.970004849136,-6403.744220733643,2951.031783595681,4972.879192791879,-204.40210937522352,-6067.102600354701,216.61197024513967,354.09500924288295,1516.566117061302,-375.2305929083377,-470.8575288532302,2590.326199424453,-891.4972422644496,-502.3555531806778,-936.7574966745451,5357.1323514916,2795.5717232543975,-1337.3058100114577,-2020.3632302582264,-3917.9372251965106,-1862.4071817612275,-920.3196386806667,-1321.5498547651805,-4049.59951993078,680.6224992033094
1,3563.34907701239,-12225.249782204628,21571.10022380948,12437.176192179322,-1233.0427998676896,3895.9255325607955,2155.2570397034287,1332.3611347004771,5905.969301238656,-1507.003791630268,-6667.655310593545,-1717.2603402286768,-9030.722372699529,-5877.520190551877,3214.797528926283,5007.404601201415,282.466207863763,-5855.144176166505,407.62081334833056,526.1590413283557,1900.7477239938453,-271.66893414687365,-70.54908201098442,3036.7933795787394,-389.84868297120556,-194.52556443866342,-607.9638405935839,5274.656054098159,2677.7165185194463,-991.2520908983424,-1609.7687766887248,-3817.915538093075,-1445.2195609919727,-1149.0099714137614,-856.9437413825653,-3352.3408346809447,1080.7094877236523
2,3757.1631255559623,-11894.688941538334,21432.34806135297,12972.07735478878,-1101.5706695616245,3905.2647189237177,2165.2973373420537,1548.2278540730476,6042.7660355344415,-1391.6220050305128,-6397.6781675592065,-1743.196975439787,-8945.47236384824,-5593.584850430489,3579.3043207377195,4977.939039235935,590.4176505282521,-5655.742366798222,383.66161606973037,653.4986168844625,2237.611362943426,-182.20885613118298,296.1575664812699,3433.743375353515,63.06808063527569,63.07770490820985,-444.77154733613133,5202.105123316869,2570.140757597983,-609.3795091146603,-1262.40927784238,-3815.597068751231,-1133.5511080687866,-1311.6152840666473,-504.90640569478273,-2790.2672882191837,1421.3827380444854
3,3961.141046602279,-11576.442047953606,21343.93248707056,13430.727063678205,-914.8817043751478,3867.0266221743077,2206.8037651479244,1763.519598171115,6175.316404551268,-1282.2883436456323,-6152.362853754312,-1712.888479232788,-8917.924133129418,-5441.568559035659,3943.5636426787823,4897.602892015129,773.0955549050122,-5483.21328824386,209.93940779590048,738.3218762697652,2503.096911823377,-51.32072510605212,608.9666858315468,3768.6546274926513,449.46327034267597,286.28346262848936,-426.6603064024821,5142.182199051604,2475.472807418555,-319.6147008566186,-975.2252954058349,-3814.8380117490888,-872.579803399276,-1418.5914187692106,-204.1722873400431,-2442.8311153315008,1716.053724521771
4,4143.154656048864,-11251.495219767094,21300.459746271372,13778.690830804408,-711.965374648571,3833.783383015543,2260.7765276916325,1942.8696250542998,6321.855704300106,-1165.1701061055064,-5945.531185716391,-1631.412305869162,-8922.562352381647,-5329.426610842347,4225.76189157553,4830.1473434548825,881.021871464327,-5350.985302357003,43.150777855771594,782.1414910722524,2708.686428377405,74.5126667425211,849.5484580635093,4019.2125889007,740.8409946947359,365.2780142147094,-443.1900451891124,5111.734761158004,2400.8678446989506,-176.8431939126458,-784.0418547857553,-3779.769322136417,-702.9929111013189,-1509.7506111487746,31.101618333195802,-2165.4004231095314,1949.243334820494
5,4325.213725678623,-10903.887450695038,21322.700660675764,13964.287471026182,-516.4507310837507,3783.3395472262055,2358.726575039327,2081.9739438593388,6476.06432903558,-1054.1051160544157,-5804.852407891303,-1545.1762592419982,-8921.396394725889,-5213.517230004072,4383.729305118322,4794.448614120483,955.5704891681671,-5273.509304970503,-71.38259206840303,792.7084225229919,2841.8943693395704,114.50181591499131,990.0189033942297,4156.208451604471,910.2764597628266,364.02449768502265,-496.0709629813209,5095.803207950667,2360.877289902419,-110.77075942012016,-681.2038773205131,-3766.5673007722944,-574.2780849686824,-1546.1258008144796,131.85366969992174,-1987.9917381331325,2089.1147141810507
6,4466.42009774223,-10555.910877883434,21375.762298703194,13964.287471026182,-345.31939309090376,3746.6573412530124,2520.602603908628,2193.1208902969956,6634.521880187094,-949.1740493103862,-5804.852407891303,-1419.64852809906,-8928.777591791004,-5093.241110444069,4468.191764317453,4789.48641102761,1036.5235502831638,-5273.509304970503,-129.0263544433401,792.7084225229919,2841.8943693395704,95.95754272595514,990.0189033942297,4156.208451604471,910.2764597628266,365.3211933851708,-549.55790983513,5106.765835080296,2360.877289902419,-85.72287879360374,-681.2038773205131,-3766.2778922822326,-510.96533570671454,-1548.1843147426844,223.73935462383088,-1891.452877316624,2092.755850753747
7,4577.462677843869,-10207.575745880604,21415.62895849347,13964.287471026182,-209.0861089527607,3736.0587157309055,2645.38120245561,2300.924272276461,6800.881819799542,-845.204689539969,-5804.852407891303,-1296.1095198988914,-8906.11024806276,-5008.6742849089205,4544.456023722887,4788.28779887408,1082.650909665972,-5273.509304970503,-154.029705299763,792.7084225229919,2841.8943693395704,79.49759992698091,990.0189033942297,4156.208451604471,910.2764597628266,390.95217289286666,-585.6302450411022,5117.233842611313,2360.877289902419,-38.284062156890286,-681.2038773205131,-3743.353794561699,-489.87365153152496,-1530.3011750802398,299.34073972981423,-1783.0559518188238,2096.5799485566095
8,4690.943460445851,-9847.397916018963,21507.38937780261,13964.287471026182,-84.48038715869188,3737.539052963257,2713.531779590994,2399.902616161853,6991.891423240304,-719.8088569566607,-5804.852407891303,-1174.0674963220954,-8860.465022735298,-4954.6624650247395,4598.704428644851,4788.28779887408,1119.7489802725613,-5273.509304970503,-142.13764552550856,792.7084225229919,2841.8943693395704,82.36537314587622,990.0189033942297,4156.208451604471,910.2764597628266,419.34489854611456,-575.5078309448436,5127.70120985806,2360.877289902419,-6.807069667047472,-681.2038773205131,-3694.6214386262,-486.8234973400831,-1467.3208934254944,322.5966647733003,-1694.6621472015977,2101.247780956328
9,4804.401192814112,-9477.631188929081,21599.13955256343,13964.287471026182,40.14198202639818,3739.019070053473,2776.5402337536216,2488.014695700258,7182.9407243058085,-608.3328044041991,-5804.852407891303,-1052.0273935981095,-8801.370626315475,-4895.153804682195,4652.955394703895,4788.28779887408,1145.8351218607277,-5273.509304970503,-141.14611531113042,792.7084225229919,2841.8943693395704,86.4817757246783,990.0189033942297,4156.208451604471,910.2764597628266,419.3637469143141,-556.2762526096776,5138.168897246942,2360.877289902419,-2.712554305617232,-681.2038773205131,-3645.889722974971,-482.39353054668754,-1398.8642604090273,323.3110019209562,-1606.2696231529117,2105.915133142844
