,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Date,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1/22/20,0,0,0,0,0,0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/23/20,0,0,0,0,0,0,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/24/20,0,0,0,0,0,0,2020-01-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/25/20,0,0,0,0,0,0,2020-01-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/26/20,0,0,0,0,2,0,2020-01-26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/27/20,0,0,0,0,2,0,2020-01-27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/28/20,0,0,0,0,2,0,2020-01-28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/29/20,0,0,0,0,2,0,2020-01-29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/30/20,0,0,0,0,2,0,2020-01-30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/31/20,0,0,0,0,3,0,2020-01-31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/1/20,0,0,0,0,3,0,2020-02-01,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/2/20,0,0,0,0,3,0,2020-02-02,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/3/20,0,0,0,0,6,0,2020-02-03,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/4/20,0,0,0,0,6,0,2020-02-04,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/5/20,0,0,0,0,6,0,2020-02-05,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/6/20,0,0,0,0,6,0,2020-02-06,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/7/20,0,0,0,0,6,0,2020-02-07,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/8/20,0,0,0,0,6,0,2020-02-08,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/9/20,0,0,0,0,6,0,2020-02-09,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/10/20,0,0,0,0,6,0,2020-02-10,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/11/20,0,0,0,0,7,0,2020-02-11,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/12/20,0,0,0,0,7,0,2020-02-12,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/13/20,0,0,0,0,8,0,2020-02-13,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/14/20,0,0,0,0,8,0,2020-02-14,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/15/20,0,0,0,0,8,0,2020-02-15,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/16/20,0,0,0,0,8,0,2020-02-16,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/17/20,0,0,0,0,8,0,2020-02-17,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/18/20,0,0,0,0,8,0,2020-02-18,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/19/20,0,0,0,0,8,0,2020-02-19,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/20/20,0,0,0,0,8,0,2020-02-20,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/21/20,0,0,0,0,10,0,2020-02-21,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/22/20,0,0,0,0,10,0,2020-02-22,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/23/20,0,0,0,0,10,0,2020-02-23,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/24/20,0,0,0,0,10,0,2020-02-24,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/25/20,0,0,0,0,10,0,2020-02-25,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/26/20,0,0,0,0,10,0,2020-02-26,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/27/20,0,0,0,0,11,0,2020-02-27,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/28/20,0,0,0,0,11,0,2020-02-28,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/29/20,0,0,0,0,12,0,2020-02-29,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0
3/1/20,0,0,0,0,12,0,2020-03-01,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0
3/2/20,0,0,0,0,21,0,2020-03-02,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0
3/3/20,0,0,0,0,24,0,2020-03-03,2,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,27,0,0,0
3/4/20,0,0,0,0,33,0,2020-03-04,2,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,3,0,0,0,0,0,0,0,0,0,39,0,0,0
3/5/20,0,0,0,0,49,2,2020-03-05,3,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,3,0,0,0,0,1,3,0,0,0,70,0,0,0
3/6/20,0,0,0,0,55,8,2020-03-06,3,3,0,5,1,0,0,1,0,0,3,3,0,1,0,0,0,1,1,0,0,0,31,2,0,0,0,3,2,0,0,0,1,4,0,0,0,78,0,0,0
3/7/20,0,0,2,0,76,8,2020-03-07,5,5,0,6,1,0,0,1,0,0,3,3,0,1,0,0,0,1,1,0,0,0,76,2,0,0,1,6,2,0,1,0,1,8,0,0,0,101,0,0,0
3/8/20,0,0,2,0,83,8,2020-03-08,8,5,0,7,2,0,1,1,0,0,5,8,0,1,0,1,0,1,2,0,0,0,106,2,0,0,1,13,6,0,1,0,3,11,0,0,2,121,0,0,0
3/9/20,0,0,2,0,89,11,2020-03-09,9,10,0,7,3,3,1,4,0,0,5,8,0,1,0,1,0,3,2,0,0,0,142,2,0,0,1,13,7,0,2,0,3,13,0,0,2,121,0,0,0
3/10/20,0,0,3,0,131,15,2020-03-10,10,17,0,12,4,8,1,5,0,0,8,11,0,1,0,1,0,3,2,0,4,0,150,7,0,3,2,13,12,0,6,0,3,16,1,0,7,166,0,3,0
3/11/20,0,0,5,0,159,31,2020-03-11,15,23,0,25,9,13,1,8,5,0,9,21,2,3,0,1,0,5,2,0,8,2,220,7,0,4,2,17,14,0,9,5,9,21,2,0,8,281,0,4,0
3/12/20,0,0,5,0,195,44,2020-03-12,18,28,0,32,11,14,4,10,18,0,11,23,2,7,1,1,0,10,2,0,11,3,325,15,1,5,3,21,20,0,6,4,18,27,2,0,10,441,0,8,1
3/13/20,5,1,5,9,246,67,2020-03-13,32,38,1,46,11,17,6,14,28,2,13,28,22,12,6,4,1,14,2,0,22,5,418,17,1,10,3,27,38,0,7,5,26,44,8,0,22,564,0,19,1
3/14/20,7,0,5,12,329,85,2020-03-14,50,66,0,64,14,17,7,16,75,2,22,29,33,19,6,4,5,18,4,0,26,7,605,24,1,20,4,31,42,0,15,5,31,60,9,3,30,638,0,27,1
3/15/20,10,0,5,3,330,107,2020-03-15,53,90,1,66,18,18,7,18,85,0,17,29,42,19,6,5,6,17,4,0,28,7,607,31,1,24,4,31,42,0,15,5,31,63,16,3,30,599,0,28,1
3/16/20,28,0,5,3,501,130,2020-03-16,54,112,1,82,22,21,10,20,110,0,34,45,72,48,12,8,6,18,10,0,61,7,949,38,1,42,9,33,68,5,24,7,51,85,24,4,40,773,0,48,1
3/17/20,38,0,5,3,630,145,2020-03-17,124,136,2,160,27,21,17,25,190,1,47,55,86,54,21,13,7,23,13,0,87,9,1549,63,2,59,16,51,93,5,37,8,73,110,35,4,54,947,0,73,2
3/18/20,49,0,8,4,758,174,2020-03-18,204,177,2,271,34,34,21,27,250,2,67,66,152,69,32,20,9,24,13,0,160,12,2997,90,3,78,16,59,130,5,47,8,98,196,41,4,65,1013,1,110,5
3/19/20,75,1,10,62,925,233,2020-03-19,296,259,4,421,54,40,32,49,381,15,84,104,304,77,48,39,10,28,26,5,367,15,5656,134,7,108,42,72,173,5,64,8,152,306,54,13,85,1365,2,151,6
3/20/20,101,2,13,100,1141,296,2020-03-20,383,429,8,583,77,40,45,61,513,7,119,135,459,102,77,71,19,36,34,5,431,19,8323,183,12,157,47,92,247,14,102,8,216,429,81,15,104,1508,8,209,7
3/21/20,127,3,17,122,1284,385,2020-03-21,523,495,8,748,116,60,54,84,723,12,149,173,606,122,136,78,26,36,34,0,667,23,11622,248,12,227,51,114,325,21,138,8,296,582,102,12,133,1767,12,271,8
3/22/20,152,6,21,161,1509,488,2020-03-22,691,561,8,1045,187,81,61,100,797,19,185,213,1106,149,201,105,30,48,63,0,1039,23,15649,293,12,333,65,134,413,23,154,8,381,641,141,15,189,1966,16,370,8
3/23/20,189,9,23,179,1911,593,2020-03-23,857,706,16,1280,253,95,78,119,1089,20,215,282,1421,211,239,205,30,48,117,23,1613,31,20727,335,13,418,79,162,578,31,224,13,602,756,225,20,215,2178,16,414,8
3/24/20,230,9,28,207,2300,756,2020-03-24,986,942,22,1531,346,112,94,157,1283,20,259,458,1902,238,304,269,47,63,62,0,2192,38,25490,467,15,539,102,177,785,39,260,13,756,952,264,23,252,2285,22,470,9
3/25/20,357,12,31,262,2737,896,2020-03-25,1192,1154,23,1859,453,131,128,191,1586,30,312,734,2424,263,356,358,60,68,68,0,2684,45,30637,559,21,675,155,225,1038,51,316,23,894,1226,305,31,340,2535,37,609,15
3/26/20,481,15,46,297,3569,1177,2020-03-26,1684,1423,36,2526,612,162,166,241,2027,34,415,1022,2982,319,453,535,83,71,64,0,4280,45,37639,702,23,834,238,269,1472,64,316,27,1070,1557,357,39,399,3101,50,715,19
3/27/20,546,15,51,335,4266,1413,2020-03-27,2083,1881,55,3011,930,215,198,295,2419,42,546,1344,3788,367,538,700,101,77,86,4,5464,58,44612,850,32,1094,304,354,1925,79,373,36,1282,1930,422,40,529,3313,72,907,26
3/28/20,641,19,60,356,4668,1646,2020-03-28,2701,2227,54,3476,1173,276,258,370,2903,48,688,1770,4823,408,617,806,120,90,174,0,6876,85,52120,978,46,1354,359,407,2330,100,465,46,1467,2446,538,44,641,3854,87,1032,31
3/29/20,756,21,70,370,5358,1830,2020-03-29,3139,2506,69,4564,1438,314,322,426,3038,62,815,2070,5678,464,703,870,144,101,382,0,8327,102,59322,1145,48,1595,409,470,2790,127,550,64,1671,2780,638,48,780,4263,103,1139,32
3/30/20,811,22,87,408,6618,2048,2020-03-30,4006,2656,90,5016,1693,398,363,467,3487,68,944,2382,6717,529,792,1221,161,136,249,56,10431,102,66303,1260,54,1869,457,520,3419,174,668,73,1867,3132,721,69,902,4646,130,1201,38
3/31/20,891,23,94,452,7624,2299,2020-03-31,5148,3741,119,5948,2052,470,422,605,4602,75,1105,2606,7850,577,860,1473,186,162,230,0,11311,149,75447,1474,59,2126,537,591,4099,239,773,81,2315,3793,789,55,1109,5136,145,1373,47
4/1/20,952,23,104,511,8745,2583,2020-04-01,5334,4427,134,6924,2436,520,471,609,5636,75,1310,3010,9605,633,987,1721,196,198,301,0,13357,159,83523,1612,72,2464,678,626,5030,286,905,99,2847,4337,789,63,1324,5277,168,1509,56
4/2/20,1089,26,119,566,10062,2827,2020-04-02,7050,5128,198,7626,2886,575,534,747,8247,96,1502,3466,11104,680,1083,1915,226,231,321,0,15167,179,92055,1900,80,2806,830,705,6140,316,1063,133,2916,5047,966,61,1528,6015,185,1689,65
4/3/20,1320,31,128,624,11132,3161,2020-04-03,8119,5592,222,8825,3252,659,608,747,9285,118,1744,3982,13071,720,1250,2033,228,263,212,0,17387,233,102478,2160,91,3204,932,765,7253,316,1178,154,2963,5708,1096,68,1823,6454,194,1939,72
4/4/20,1425,32,150,663,11940,3454,2020-04-04,9166,5906,242,10272,3720,744,674,872,11129,127,1966,4532,14569,786,1341,2370,248,298,297,0,19179,245,113270,2390,100,3608,1095,765,8929,452,1337,175,3213,6539,1258,78,2197,6831,226,1957,81
4/5/20,1571,33,165,756,13935,3719,2020-04-05,9816,6382,267,11167,4150,818,726,910,11553,133,2246,4831,16085,854,1509,2466,269,335,307,4,20866,310,122549,2548,112,3895,1181,904,9897,475,1454,203,3517,7174,1423,88,2390,7376,263,2235,89
4/6/20,1727,35,172,795,14863,3878,2020-04-06,10563,7024,273,12155,4658,893,822,910,13215,142,2544,5336,17631,896,1597,2924,282,385,316,1,22538,352,131163,2856,118,4289,1249,904,11274,513,1593,245,3680,8002,1483,100,2601,7808,282,2350,95
4/7/20,1922,35,195,860,16102,4019,2020-04-07,11547,8485,311,13437,5173,990,883,1092,14516,147,2797,5858,19440,964,1760,3215,301,408,361,1,23696,405,139185,3185,123,4591,1380,954,12782,573,1760,275,4008,8872,1538,89,3011,8155,339,2475,98
4/8/20,2060,37,202,911,17558,4165,2020-04-08,12286,9544,326,14965,5576,1081,1016,1092,15169,155,3517,6463,20854,1045,1842,3399,313,463,347,1,24954,431,150335,3373,127,4939,1432,991,14352,620,1760,347,4226,9719,1636,119,3293,8723,397,2607,102
4/9/20,2366,38,221,1015,18338,4516,2020-04-09,13053,10192,339,16284,5937,1199,1086,1273,16254,167,3933,7230,22051,1123,2086,3637,334,507,408,32,26592,450,160981,3601,135,5290,1583,1110,15659,683,2067,400,4486,11148,1636,98,3660,9008,405,2770,104
4/10/20,2577,42,223,1066,19564,4677,2020-04-10,13948,11085,391,17740,6461,1302,1087,1625,17109,180,4446,8039,23015,1212,2274,4025,341,564,535,32,28156,564,171471,3825,137,5641,1683,1111,17155,725,2302,486,4735,12033,1871,149,4087,9455,452,2946,111
4/11/20,2813,44,232,1121,20119,4920,2020-04-11,14637,11734,408,19024,6922,1414,1242,1625,17785,195,4930,8803,24217,1299,2429,4269,352,618,512,0,29985,574,180117,4205,144,5988,1751,1151,18459,788,2431,578,4972,12947,1958,114,4605,9724,456,3085,121
4/12/20,3128,49,254,1171,21144,5170,2020-04-12,15806,12006,412,20695,7388,1483,1311,1846,18277,200,5245,9809,24875,1473,2553,4407,362,699,465,1,31846,684,188068,4419,146,6328,1853,1291,19477,897,2508,677,5343,13597,2049,114,4785,9879,468,3201,125
4/13/20,3274,49,263,1299,22222,5434,2020-04-13,16685,12855,429,21859,7798,1584,1356,1901,18653,209,5681,10316,26296,1473,2691,4583,369,721,494,1,33268,684,194747,4700,159,6683,1947,1336,20608,903,2556,814,5431,14193,2099,118,5230,9861,485,3276,127
4/14/20,3463,51,275,1375,23651,5598,2020-04-14,17172,14052,441,23080,7920,1751,1408,1891,19054,210,6080,10852,27699,1542,2826,4742,373,794,573,1,35939,766,201953,4916,161,6972,2055,1378,21613,923,2693,934,5642,14918,2145,152,5653,9978,503,3382,129
4/15/20,3569,53,280,1443,24778,5822,2020-04-15,17922,14429,449,24419,8320,1841,1468,2055,19438,218,6437,11530,28770,1650,3086,4867,378,798,597,0,36720,874,213348,5168,173,7458,2104,1396,22660,974,2776,1114,5642,15813,2269,128,5947,10056,564,3528,131
4/16/20,3804,54,303,1495,25694,6052,2020-04-16,18575,15067,512,25556,8836,1958,1579,2256,19926,236,6996,12448,29570,1650,3329,5160,388,842,598,0,38812,874,222534,5459,182,8047,2182,1453,23946,1043,3000,1257,5971,16766,2401,133,6294,10168,586,3656,136
4/17/20,4011,55,323,1569,27070,6274,2020-04-17,19683,16476,520,27393,9357,2105,1690,2336,20385,245,7573,13595,30810,1895,3483,5369,395,955,721,2,40129,966,229381,5857,182,8709,2290,1497,25360,1068,3137,1355,6057,17730,2566,133,6852,10589,627,3790,140
4/18/20,4135,59,352,1617,28319,6533,2020-04-18,20226,16944,547,28962,9802,2248,1780,2514,20786,250,8115,14294,31589,2030,3655,5560,399,1114,674,0,41884,1112,236213,6136,264,9792,2290,1552,26589,1118,3267,1485,6368,18585,2687,138,7371,10818,636,3909,141
4/19/20,4289,61,367,1654,29177,6753,2020-04-19,20866,17555,555,30152,10333,2605,1863,2754,21083,255,8458,15015,32204,2167,3925,5727,406,1321,716,0,43703,1142,242076,6406,304,11157,2365,1610,27533,1213,3375,1576,6825,19135,2833,142,7792,10990,732,4043,141
4/20/20,4441,62,378,1845,31390,7004,2020-04-20,21479,18621,558,31303,10745,2786,2004,2843,21653,259,9022,15554,32817,2277,4144,5886,406,1490,757,4,45174,1237,247092,6694,312,12447,2472,1645,28386,1252,3432,1626,6986,19626,2971,143,8206,11104,742,4126,141
4/21/20,4653,63,395,1858,33056,7257,2020-04-21,22162,19082,600,32844,11114,3152,2118,2990,21924,262,9372,16215,33505,2371,4327,6080,410,1526,756,14,47670,1237,252154,6917,320,13233,2596,1689,29550,1298,3425,1696,7108,20523,3054,138,8803,11324,746,4222,202
4/22/20,4895,64,426,2140,34890,7520,2020-04-22,22525,20335,622,34885,11400,3244,2284,3149,22264,267,9761,16870,34836,2512,4491,6268,412,1646,776,17,49098,1429,256797,7272,334,13583,2673,1732,30164,1252,3696,1792,7108,21174,3196,141,9386,11481,768,4353,203
